,ministry,slotId,startDtTm,endDtTm,blockDate
717,TNNAS,3979911-168786317,2022-03-15 08:30:00+00:00,2022-03-15 12:00:00+00:00,2022-03-15
718,TNNAS,4077260-205672898,2022-06-27 08:30:00+00:00,2022-06-27 12:30:00+00:00,2022-06-27
719,TNNAS,4217632-247846987,2022-06-23 12:30:00+00:00,2022-06-23 17:00:00+00:00,2022-06-23
720,TNNAS,4077275-205687690,2022-06-27 12:30:00+00:00,2022-06-27 15:30:00+00:00,2022-06-27
721,TNNAS,4107481-211990032,2022-06-27 07:00:00+00:00,2022-06-27 13:00:00+00:00,2022-06-27
722,TNNAS,4052501-197405405,2022-06-27 07:00:00+00:00,2022-06-27 16:00:00+00:00,2022-06-27
723,TNNAS,3967879-162798599,2022-11-24 08:00:00+00:00,2022-11-24 17:00:00+00:00,2022-11-24
724,TNNAS,4209571-245088307,2022-11-24 07:30:00+00:00,2022-11-24 09:30:00+00:00,2022-11-24
725,TNNAS,3963905-159256490,2022-11-24 08:30:00+00:00,2022-11-24 15:30:00+00:00,2022-11-24
726,TNNAS,4000014-178012414,2022-01-26 12:30:00+00:00,2022-01-26 16:30:00+00:00,2022-01-26
727,TNNAS,4050586-196808312,2022-01-24 12:00:00+00:00,2022-01-24 15:00:00+00:00,2022-01-24
728,TNNAS,4046191-194324321,2022-12-07 12:30:00+00:00,2022-12-07 17:00:00+00:00,2022-12-07
729,TNNAS,3810095-113079894,2022-01-26 08:30:00+00:00,2022-01-26 15:30:00+00:00,2022-01-26
730,TNNAS,3972024-165217262,2022-09-05 07:30:00+00:00,2022-09-05 15:00:00+00:00,2022-09-05
731,TNNAS,3972029-165217648,2022-09-05 07:30:00+00:00,2022-09-05 17:00:00+00:00,2022-09-05
732,TNNAS,4217601-247842288,2022-05-12 07:15:00+00:00,2022-05-12 15:00:00+00:00,2022-05-12
733,TNNAS,3968035-163025593,2022-09-05 07:30:00+00:00,2022-09-05 16:30:00+00:00,2022-09-05
734,TNNAS,4036157-191811642,2022-05-13 07:30:00+00:00,2022-05-13 15:30:00+00:00,2022-05-13
735,TNNAS,4079391-206392157,2022-05-13 08:00:00+00:00,2022-05-13 12:00:00+00:00,2022-05-13
736,TNNAS,4155438-226701288,2022-06-06 13:30:00+00:00,2022-06-06 16:00:00+00:00,2022-06-06
737,TNNAS,4151462-226354181,2022-06-06 13:00:00+00:00,2022-06-06 16:00:00+00:00,2022-06-06
738,TNNAS,4079391-206392157,2022-04-01 08:00:00+00:00,2022-04-01 12:00:00+00:00,2022-04-01
739,TNNAS,4139518-223583044,2022-08-24 09:00:00+00:00,2022-08-24 11:00:00+00:00,2022-08-24
740,TNNAS,3854179-119294939,2022-04-01 07:30:00+00:00,2022-04-01 15:00:00+00:00,2022-04-01
741,TNNAS,4044207-193912919,2022-06-08 07:00:00+00:00,2022-06-08 13:00:00+00:00,2022-06-08
742,TNNAS,3830041-115114365,2022-09-05 07:30:00+00:00,2022-09-05 15:00:00+00:00,2022-09-05
743,TNNAS,3972029-165217648,2022-09-05 07:30:00+00:00,2022-09-05 17:00:00+00:00,2022-09-05
744,TNNAS,3972102-165249062,2022-09-05 07:30:00+00:00,2022-09-05 17:00:00+00:00,2022-09-05
745,TNNAS,4067097-203907390,2022-09-22 07:30:00+00:00,2022-09-22 17:00:00+00:00,2022-09-22
746,TNNAS,4079435-206584287,2022-08-19 07:30:00+00:00,2022-08-19 17:00:00+00:00,2022-08-19
747,TNNAS,4046957-195148678,2022-08-22 07:30:00+00:00,2022-08-22 15:30:00+00:00,2022-08-22
748,TNNAS,4067090-203907278,2022-08-19 12:00:00+00:00,2022-08-19 17:00:00+00:00,2022-08-19
749,TNNAS,3967879-162798599,2022-09-22 08:00:00+00:00,2022-09-22 17:00:00+00:00,2022-09-22
750,TNNAS,4148469-225617341,2022-04-07 07:15:00+00:00,2022-04-07 17:15:00+00:00,2022-04-07
751,TNNAS,4030244-190125272,2022-04-07 07:30:00+00:00,2022-04-07 12:00:00+00:00,2022-04-07
752,TNNAS,4030144-189837685,2022-04-07 07:30:00+00:00,2022-04-07 15:00:00+00:00,2022-04-07
753,TNNAS,4204071-243506226,2023-01-09 07:30:00+00:00,2023-01-09 12:00:00+00:00,2023-01-09
754,TNNAS,4151508-226355193,2023-03-08 12:30:00+00:00,2023-03-08 16:00:00+00:00,2023-03-08
755,TNNAS,4151500-226355011,2023-03-08 12:30:00+00:00,2023-03-08 16:00:00+00:00,2023-03-08
756,TNNAS,4151492-226354757,2023-02-01 12:30:00+00:00,2023-02-01 16:00:00+00:00,2023-02-01
757,TNNAS,4151484-226354522,2023-02-01 12:30:00+00:00,2023-02-01 16:00:00+00:00,2023-02-01
758,TNNAS,4137475-222330811,2023-02-15 08:00:00+00:00,2023-02-15 12:00:00+00:00,2023-02-15
759,TNNAS,4137442-222327211,2023-02-15 09:00:00+00:00,2023-02-15 13:30:00+00:00,2023-02-15
760,TNNAS,4151492-226354757,2023-01-04 12:30:00+00:00,2023-01-04 16:00:00+00:00,2023-01-04
761,TNNAS,4151484-226354522,2023-03-01 12:30:00+00:00,2023-03-01 16:00:00+00:00,2023-03-01
762,TNNAS,4151484-226354522,2023-01-04 12:30:00+00:00,2023-01-04 16:00:00+00:00,2023-01-04
763,TNNAS,4151492-226354757,2023-03-01 12:30:00+00:00,2023-03-01 16:00:00+00:00,2023-03-01
764,TNNAS,4044232-193918540,2023-03-22 08:00:00+00:00,2023-03-22 12:30:00+00:00,2023-03-22
765,TNNAS,4151508-226355193,2023-01-11 12:30:00+00:00,2023-01-11 16:00:00+00:00,2023-01-11
766,TNNAS,4151500-226355011,2023-01-11 12:30:00+00:00,2023-01-11 16:00:00+00:00,2023-01-11
767,TNNAS,4139525-223583775,2023-03-22 09:00:00+00:00,2023-03-22 13:00:00+00:00,2023-03-22
768,TNNAS,4137475-222330811,2023-03-15 08:00:00+00:00,2023-03-15 12:00:00+00:00,2023-03-15
769,TNNAS,4151500-226355011,2023-02-08 12:30:00+00:00,2023-02-08 16:00:00+00:00,2023-02-08
770,TNNAS,4137442-222327211,2023-03-15 09:00:00+00:00,2023-03-15 13:30:00+00:00,2023-03-15
771,TNNAS,4151508-226355193,2023-02-08 12:30:00+00:00,2023-02-08 16:00:00+00:00,2023-02-08
772,TNNAS,4137475-222330811,2023-01-18 08:00:00+00:00,2023-01-18 12:00:00+00:00,2023-01-18
773,TNNAS,4137442-222327211,2023-01-18 09:00:00+00:00,2023-01-18 13:30:00+00:00,2023-01-18
774,TNNAS,4139525-223583775,2023-01-25 09:00:00+00:00,2023-01-25 13:00:00+00:00,2023-01-25
775,TNNAS,4044232-193918540,2023-02-22 08:00:00+00:00,2023-02-22 12:30:00+00:00,2023-02-22
776,TNNAS,4139525-223583775,2023-02-22 09:00:00+00:00,2023-02-22 13:00:00+00:00,2023-02-22
777,TNNAS,4044232-193918540,2023-01-25 08:00:00+00:00,2023-01-25 12:30:00+00:00,2023-01-25
778,TNNAS,4219556-248761082,2023-01-11 08:00:00+00:00,2023-01-11 12:00:00+00:00,2023-01-11
779,TNNAS,4046190-194324320,2023-01-11 08:30:00+00:00,2023-01-11 12:30:00+00:00,2023-01-11
780,TNNAS,4109476-212800448,2023-01-11 08:30:00+00:00,2023-01-11 11:30:00+00:00,2023-01-11
781,TNNAS,4204071-243506226,2023-01-23 07:30:00+00:00,2023-01-23 12:00:00+00:00,2023-01-23
782,TNNAS,3971894-164843615,2023-01-19 07:30:00+00:00,2023-01-19 17:00:00+00:00,2023-01-19
783,TNNAS,4204071-243506226,2023-01-16 07:30:00+00:00,2023-01-16 12:00:00+00:00,2023-01-16
784,TNNAS,3971894-164843615,2023-05-11 07:30:00+00:00,2023-05-11 17:00:00+00:00,2023-05-11
785,TNNAS,4199464-241199787,2023-02-10 08:30:00+00:00,2023-02-10 16:00:00+00:00,2023-02-10
