,room,blockDate,block_status
145,STM ST OR 09,2023-07-04,False
146,STM ST OR 10,2023-07-04,False
147,STM ST OR 11,2023-07-04,False
148,STM ST OR 12,2023-07-04,False
149,STM ST OR 14,2023-07-04,False
150,STM ST OR 15,2023-07-04,False
151,STM ST OR 16,2023-07-04,False
152,STM ST OR 17,2023-07-04,False
153,STM ST OR 18,2023-07-04,False
154,STM ST OR Hybrid,2023-07-04,False
155,MT Cysto,2023-07-04,False
156,MT OR 01,2023-07-04,False
157,MT OR 02,2023-07-04,False
158,MT OR 03,2023-07-04,False
159,MT OR 04,2023-07-04,False
160,MT OR 05,2023-07-04,False
161,MT OR 06,2023-07-04,False
162,MT OR 07,2023-07-04,False
163,MT OR 08,2023-07-04,False
164,MT OR 09,2023-07-04,False
165,MT OR 10,2023-07-04,False
166,MT OR 11,2023-07-04,False
167,MT OR 12,2023-07-04,False
168,MT OR 14,2023-07-04,False
169,MT OR 15,2023-07-04,False
170,MT OR 16,2023-07-04,False
171,MT OR 17,2023-07-04,False
172,BH JRI 02,2023-07-05,False
173,BH JRI 03,2023-07-05,False
174,BH JRI 04,2023-07-05,False
175,BH JRI 05,2023-07-05,False
176,BH JRI 06,2023-07-05,False
177,BH JRI 07,2023-07-05,False
178,BH JRI 08,2023-07-05,False
179,BH JRI 09,2023-07-05,False
180,STM ST OR 01,2023-07-05,False
181,STM ST OR 02,2023-07-05,False
182,STM ST OR 03,2023-07-05,False
183,STM ST OR 04,2023-07-05,False
184,STM ST OR 05,2023-07-05,False
185,STM ST OR 06,2023-07-05,False
186,STM ST OR 07,2023-07-05,False
187,STM ST OR 08,2023-07-05,False
188,STM ST OR 09,2023-07-05,False
189,STM ST OR 10,2023-07-05,False
190,STM ST OR 11,2023-07-05,False
191,STM ST OR 12,2023-07-05,False
192,STM ST OR 14,2023-07-05,False
193,STM ST OR 15,2023-07-05,False
194,STM ST OR 16,2023-07-05,False
195,STM ST OR 17,2023-07-05,False
196,STM ST OR 18,2023-07-05,False
197,STM ST OR Hybrid,2023-07-05,False
198,MT Cysto,2023-07-05,False
199,MT OR 01,2023-07-05,False
200,MT OR 02,2023-07-05,False
201,MT OR 03,2023-07-05,False
202,MT OR 04,2023-07-05,False
203,MT OR 05,2023-07-05,False
204,MT OR 06,2023-07-05,False
205,MT OR 07,2023-07-05,False
206,MT OR 08,2023-07-05,False
207,MT OR 09,2023-07-05,False
208,MT OR 10,2023-07-05,False
209,MT OR 11,2023-07-05,False
210,MT OR 12,2023-07-05,False
211,MT OR 14,2023-07-05,False
212,MT OR 15,2023-07-05,False
213,MT OR 16,2023-07-05,False
214,MT OR 17,2023-07-05,False
215,BH JRI 02,2023-07-06,False
216,BH JRI 03,2023-07-06,False
217,BH JRI 04,2023-07-06,False
218,BH JRI 05,2023-07-06,False
219,BH JRI 06,2023-07-06,False
220,BH JRI 07,2023-07-06,False
221,BH JRI 08,2023-07-06,False
222,BH JRI 09,2023-07-06,False
223,STM ST OR 01,2023-07-06,False
224,STM ST OR 02,2023-07-06,False
225,STM ST OR 03,2023-07-06,False
226,STM ST OR 04,2023-07-06,False
227,STM ST OR 05,2023-07-06,False
228,STM ST OR 06,2023-07-06,False
229,STM ST OR 07,2023-07-06,False
230,STM ST OR 08,2023-07-06,False
231,STM ST OR 09,2023-07-06,False
232,STM ST OR 10,2023-07-06,False
233,STM ST OR 11,2023-07-06,False
234,STM ST OR 12,2023-07-06,False
235,STM ST OR 14,2023-07-06,False
236,STM ST OR 15,2023-07-06,False
237,STM ST OR 16,2023-07-06,False
238,STM ST OR 17,2023-07-06,False
239,STM ST OR 18,2023-07-06,False
240,STM ST OR Hybrid,2023-07-06,False
241,MT Cysto,2023-07-06,False
242,MT OR 01,2023-07-06,False
243,MT OR 02,2023-07-06,False
244,MT OR 03,2023-07-06,False
245,MT OR 04,2023-07-06,False
246,MT OR 05,2023-07-06,False
247,MT OR 06,2023-07-06,False
248,MT OR 07,2023-07-06,False
249,MT OR 08,2023-07-06,False
250,MT OR 09,2023-07-06,False
251,MT OR 10,2023-07-06,False
252,MT OR 11,2023-07-06,False
253,MT OR 12,2023-07-06,False
254,MT OR 14,2023-07-06,False
255,MT OR 15,2023-07-06,False
256,MT OR 16,2023-07-06,False
257,MT OR 17,2023-07-06,False
258,BH JRI 02,2023-07-07,False
259,BH JRI 03,2023-07-07,False
260,BH JRI 04,2023-07-07,False
261,BH JRI 05,2023-07-07,False
262,BH JRI 06,2023-07-07,False
263,BH JRI 07,2023-07-07,False
264,BH JRI 08,2023-07-07,False
265,BH JRI 09,2023-07-07,False
266,STM ST OR 01,2023-07-07,False
267,STM ST OR 02,2023-07-07,False
268,STM ST OR 03,2023-07-07,False
269,STM ST OR 04,2023-07-07,False
270,STM ST OR 05,2023-07-07,False
271,STM ST OR 06,2023-07-07,False
272,STM ST OR 07,2023-07-07,False
273,STM ST OR 08,2023-07-07,False
274,STM ST OR 09,2023-07-07,False
275,STM ST OR 10,2023-07-07,False
276,STM ST OR 11,2023-07-07,False
277,STM ST OR 12,2023-07-07,False
278,STM ST OR 14,2023-07-07,False
279,STM ST OR 15,2023-07-07,False
280,STM ST OR 16,2023-07-07,False
281,STM ST OR 17,2023-07-07,False
282,STM ST OR 18,2023-07-07,False
283,STM ST OR Hybrid,2023-07-07,False
284,MT Cysto,2023-07-07,False
285,MT OR 01,2023-07-07,False
286,MT OR 02,2023-07-07,False
287,MT OR 03,2023-07-07,False
288,MT OR 04,2023-07-07,False
289,MT OR 05,2023-07-07,False
290,MT OR 06,2023-07-07,False
291,MT OR 07,2023-07-07,False
292,MT OR 08,2023-07-07,False
293,MT OR 09,2023-07-07,False
294,MT OR 10,2023-07-07,False
295,MT OR 11,2023-07-07,False
296,MT OR 12,2023-07-07,False
297,MT OR 14,2023-07-07,False
298,MT OR 15,2023-07-07,False
299,MT OR 16,2023-07-07,False
300,MT OR 17,2023-07-07,False
301,BH JRI 02,2023-07-08,False
302,BH JRI 03,2023-07-08,False
303,BH JRI 04,2023-07-08,False
304,BH JRI 05,2023-07-08,False
305,BH JRI 06,2023-07-08,False
306,BH JRI 07,2023-07-08,False
307,BH JRI 08,2023-07-08,False
308,BH JRI 09,2023-07-08,False
309,STM ST OR 01,2023-07-08,False
310,STM ST OR 02,2023-07-08,False
311,STM ST OR 03,2023-07-08,False
312,STM ST OR 04,2023-07-08,False
313,STM ST OR 05,2023-07-08,False
314,STM ST OR 06,2023-07-08,False
315,STM ST OR 07,2023-07-08,False
316,STM ST OR 08,2023-07-08,False
317,STM ST OR 09,2023-07-08,False
318,STM ST OR 10,2023-07-08,False
319,STM ST OR 11,2023-07-08,False
320,STM ST OR 12,2023-07-08,False
321,STM ST OR 14,2023-07-08,False
322,STM ST OR 15,2023-07-08,False
323,STM ST OR 16,2023-07-08,False
324,STM ST OR 17,2023-07-08,False
325,STM ST OR 18,2023-07-08,False
326,STM ST OR Hybrid,2023-07-08,False
327,MT Cysto,2023-07-08,False
328,MT OR 01,2023-07-08,False
329,MT OR 02,2023-07-08,False
330,MT OR 03,2023-07-08,False
331,MT OR 04,2023-07-08,False
332,MT OR 05,2023-07-08,False
333,MT OR 06,2023-07-08,False
334,MT OR 07,2023-07-08,False
335,MT OR 08,2023-07-08,False
336,MT OR 09,2023-07-08,False
337,MT OR 10,2023-07-08,False
338,MT OR 11,2023-07-08,False
339,MT OR 12,2023-07-08,False
340,MT OR 14,2023-07-08,False
341,MT OR 15,2023-07-08,False
342,MT OR 16,2023-07-08,False
343,MT OR 17,2023-07-08,False
344,BH JRI 02,2023-07-09,False
345,BH JRI 03,2023-07-09,False
346,BH JRI 04,2023-07-09,False
347,BH JRI 05,2023-07-09,False
348,BH JRI 06,2023-07-09,False
349,BH JRI 07,2023-07-09,False
350,BH JRI 08,2023-07-09,False
351,BH JRI 09,2023-07-09,False
352,STM ST OR 01,2023-07-09,False
353,STM ST OR 02,2023-07-09,False
354,STM ST OR 03,2023-07-09,False
355,STM ST OR 04,2023-07-09,False
356,STM ST OR 05,2023-07-09,False
357,STM ST OR 06,2023-07-09,False
358,STM ST OR 07,2023-07-09,False
359,STM ST OR 08,2023-07-09,False
360,STM ST OR 09,2023-07-09,False
361,STM ST OR 10,2023-07-09,False
362,STM ST OR 11,2023-07-09,False
363,STM ST OR 12,2023-07-09,False
364,STM ST OR 14,2023-07-09,False
365,STM ST OR 15,2023-07-09,False
366,STM ST OR 16,2023-07-09,False
367,STM ST OR 17,2023-07-09,False
368,STM ST OR 18,2023-07-09,False
369,STM ST OR Hybrid,2023-07-09,False
370,MT Cysto,2023-07-09,False
371,MT OR 01,2023-07-09,False
372,MT OR 02,2023-07-09,False
373,MT OR 03,2023-07-09,False
374,MT OR 04,2023-07-09,False
375,MT OR 05,2023-07-09,False
376,MT OR 06,2023-07-09,False
377,MT OR 07,2023-07-09,False
378,MT OR 08,2023-07-09,False
379,MT OR 09,2023-07-09,False
380,MT OR 10,2023-07-09,False
381,MT OR 11,2023-07-09,False
382,MT OR 12,2023-07-09,False
383,MT OR 14,2023-07-09,False
384,MT OR 15,2023-07-09,False
385,MT OR 16,2023-07-09,False
386,MT OR 17,2023-07-09,False
387,BH JRI 02,2023-07-10,False
388,BH JRI 03,2023-07-10,False
389,BH JRI 04,2023-07-10,False
390,BH JRI 05,2023-07-10,False
391,BH JRI 06,2023-07-10,False
392,BH JRI 07,2023-07-10,False
393,BH JRI 08,2023-07-10,False
394,BH JRI 09,2023-07-10,False
395,STM ST OR 01,2023-07-10,False
396,STM ST OR 02,2023-07-10,False
397,STM ST OR 03,2023-07-10,False
398,STM ST OR 04,2023-07-10,False
399,STM ST OR 05,2023-07-10,False
400,STM ST OR 06,2023-07-10,False
401,STM ST OR 07,2023-07-10,True
402,STM ST OR 08,2023-07-10,False
403,STM ST OR 09,2023-07-10,False
404,STM ST OR 10,2023-07-10,True
405,STM ST OR 11,2023-07-10,False
406,STM ST OR 12,2023-07-10,False
407,STM ST OR 14,2023-07-10,False
408,STM ST OR 15,2023-07-10,False
409,STM ST OR 16,2023-07-10,False
410,STM ST OR 17,2023-07-10,False
411,STM ST OR 18,2023-07-10,False
412,STM ST OR Hybrid,2023-07-10,False
413,MT Cysto,2023-07-10,False
414,MT OR 01,2023-07-10,False
415,MT OR 02,2023-07-10,False
416,MT OR 03,2023-07-10,False
417,MT OR 04,2023-07-10,False
418,MT OR 05,2023-07-10,True
419,MT OR 06,2023-07-10,True
420,MT OR 07,2023-07-10,False
421,MT OR 08,2023-07-10,False
422,MT OR 09,2023-07-10,False
423,MT OR 10,2023-07-10,False
424,MT OR 11,2023-07-10,False
425,MT OR 12,2023-07-10,False
426,MT OR 14,2023-07-10,False
427,MT OR 15,2023-07-10,False
428,MT OR 16,2023-07-10,False
429,MT OR 17,2023-07-10,False
430,BH JRI 02,2023-07-11,False
431,BH JRI 03,2023-07-11,False
432,BH JRI 04,2023-07-11,False
433,BH JRI 05,2023-07-11,False
434,BH JRI 06,2023-07-11,False
435,BH JRI 07,2023-07-11,False
436,BH JRI 08,2023-07-11,False
437,BH JRI 09,2023-07-11,False
438,STM ST OR 01,2023-07-11,False
439,STM ST OR 02,2023-07-11,False
440,STM ST OR 03,2023-07-11,False
441,STM ST OR 04,2023-07-11,False
442,STM ST OR 05,2023-07-11,False
443,STM ST OR 06,2023-07-11,False
444,STM ST OR 07,2023-07-11,True
445,STM ST OR 08,2023-07-11,False
446,STM ST OR 09,2023-07-11,False
447,STM ST OR 10,2023-07-11,True
448,STM ST OR 11,2023-07-11,False
449,STM ST OR 12,2023-07-11,False
450,STM ST OR 14,2023-07-11,False
451,STM ST OR 15,2023-07-11,True
452,STM ST OR 16,2023-07-11,False
453,STM ST OR 17,2023-07-11,True
454,STM ST OR 18,2023-07-11,False
455,STM ST OR Hybrid,2023-07-11,False
456,MT Cysto,2023-07-11,False
457,MT OR 01,2023-07-11,True
458,MT OR 02,2023-07-11,False
459,MT OR 03,2023-07-11,True
460,MT OR 04,2023-07-11,False
461,MT OR 05,2023-07-11,True
462,MT OR 06,2023-07-11,True
463,MT OR 07,2023-07-11,False
464,MT OR 08,2023-07-11,False
465,MT OR 09,2023-07-11,False
466,MT OR 10,2023-07-11,False
467,MT OR 11,2023-07-11,False
468,MT OR 12,2023-07-11,False
469,MT OR 14,2023-07-11,False
470,MT OR 15,2023-07-11,False
471,MT OR 16,2023-07-11,False
472,MT OR 17,2023-07-11,False
473,BH JRI 02,2023-07-12,False
474,BH JRI 03,2023-07-12,False
475,BH JRI 04,2023-07-12,False
476,BH JRI 05,2023-07-12,False
477,BH JRI 06,2023-07-12,False
478,BH JRI 07,2023-07-12,False
479,BH JRI 08,2023-07-12,False
480,BH JRI 09,2023-07-12,False
481,STM ST OR 01,2023-07-12,False
482,STM ST OR 02,2023-07-12,False
483,STM ST OR 03,2023-07-12,False
484,STM ST OR 04,2023-07-12,False
485,STM ST OR 05,2023-07-12,False
486,STM ST OR 06,2023-07-12,False
487,STM ST OR 07,2023-07-12,True
488,STM ST OR 08,2023-07-12,False
489,STM ST OR 09,2023-07-12,False
490,STM ST OR 10,2023-07-12,True
491,STM ST OR 11,2023-07-12,False
492,STM ST OR 12,2023-07-12,False
493,STM ST OR 14,2023-07-12,False
494,STM ST OR 15,2023-07-12,True
495,STM ST OR 16,2023-07-12,False
496,STM ST OR 17,2023-07-12,False
497,STM ST OR 18,2023-07-12,True
498,STM ST OR Hybrid,2023-07-12,True
499,MT Cysto,2023-07-12,False
500,MT OR 01,2023-07-12,False
501,MT OR 02,2023-07-12,False
502,MT OR 03,2023-07-12,True
503,MT OR 04,2023-07-12,False
504,MT OR 05,2023-07-12,True
505,MT OR 06,2023-07-12,True
506,MT OR 07,2023-07-12,False
507,MT OR 08,2023-07-12,False
508,MT OR 09,2023-07-12,True
509,MT OR 10,2023-07-12,False
510,MT OR 11,2023-07-12,False
511,MT OR 12,2023-07-12,False
512,MT OR 14,2023-07-12,False
513,MT OR 15,2023-07-12,False
514,MT OR 16,2023-07-12,False
515,MT OR 17,2023-07-12,False
516,BH JRI 02,2023-07-13,False
517,BH JRI 03,2023-07-13,False
518,BH JRI 04,2023-07-13,False
519,BH JRI 05,2023-07-13,False
520,BH JRI 06,2023-07-13,False
521,BH JRI 07,2023-07-13,False
522,BH JRI 08,2023-07-13,False
523,BH JRI 09,2023-07-13,False
524,STM ST OR 01,2023-07-13,False
525,STM ST OR 02,2023-07-13,False
526,STM ST OR 03,2023-07-13,False
527,STM ST OR 04,2023-07-13,False
528,STM ST OR 05,2023-07-13,False
529,STM ST OR 06,2023-07-13,False
530,STM ST OR 07,2023-07-13,True
531,STM ST OR 08,2023-07-13,False
532,STM ST OR 09,2023-07-13,False
533,STM ST OR 10,2023-07-13,True
534,STM ST OR 11,2023-07-13,False
535,STM ST OR 12,2023-07-13,False
536,STM ST OR 14,2023-07-13,False
537,STM ST OR 15,2023-07-13,True
538,STM ST OR 16,2023-07-13,False
539,STM ST OR 17,2023-07-13,True
540,STM ST OR 18,2023-07-13,True
541,STM ST OR Hybrid,2023-07-13,True
542,MT Cysto,2023-07-13,False
543,MT OR 01,2023-07-13,True
544,MT OR 02,2023-07-13,True
545,MT OR 03,2023-07-13,True
546,MT OR 04,2023-07-13,True
547,MT OR 05,2023-07-13,True
548,MT OR 06,2023-07-13,True
549,MT OR 07,2023-07-13,False
550,MT OR 08,2023-07-13,False
551,MT OR 09,2023-07-13,False
552,MT OR 10,2023-07-13,False
553,MT OR 11,2023-07-13,False
554,MT OR 12,2023-07-13,False
555,MT OR 14,2023-07-13,True
556,MT OR 15,2023-07-13,False
557,MT OR 16,2023-07-13,False
558,MT OR 17,2023-07-13,True
559,BH JRI 02,2023-07-14,False
560,BH JRI 03,2023-07-14,False
561,BH JRI 04,2023-07-14,False
562,BH JRI 05,2023-07-14,False
563,BH JRI 06,2023-07-14,False
564,BH JRI 07,2023-07-14,False
565,BH JRI 08,2023-07-14,False
566,BH JRI 09,2023-07-14,False
567,STM ST OR 01,2023-07-14,False
568,STM ST OR 02,2023-07-14,False
569,STM ST OR 03,2023-07-14,False
570,STM ST OR 04,2023-07-14,False
571,STM ST OR 05,2023-07-14,False
572,STM ST OR 06,2023-07-14,False
573,STM ST OR 07,2023-07-14,True
574,STM ST OR 08,2023-07-14,False
575,STM ST OR 09,2023-07-14,False
576,STM ST OR 10,2023-07-14,True
577,STM ST OR 11,2023-07-14,False
578,STM ST OR 12,2023-07-14,False
579,STM ST OR 14,2023-07-14,False
580,STM ST OR 15,2023-07-14,False
581,STM ST OR 16,2023-07-14,True
582,STM ST OR 17,2023-07-14,True
583,STM ST OR 18,2023-07-14,True
584,STM ST OR Hybrid,2023-07-14,True
585,MT Cysto,2023-07-14,False
586,MT OR 01,2023-07-14,False
587,MT OR 02,2023-07-14,True
588,MT OR 03,2023-07-14,True
589,MT OR 04,2023-07-14,True
590,MT OR 05,2023-07-14,True
591,MT OR 06,2023-07-14,True
592,MT OR 07,2023-07-14,False
593,MT OR 08,2023-07-14,False
594,MT OR 09,2023-07-14,False
595,MT OR 10,2023-07-14,False
596,MT OR 11,2023-07-14,False
